priority,DISTRICT_N,Critical ,Violent,Mediam,Little,Very little,total_m2,%critical_m2+Violent_m2/total_m2,%critical_m2+Violent_m2/Shape_Area,%total_m2/Shape_Area,%save zone,save zone,pop, save zone/pop,pop per area,Shape_Area,%critical_m2+Violent_m2/total_m2,%critical_m2+Violent_m2/Shape_Area,%total_m2/Shape_Area,UNHCR
22,บางรัก,0.260,0.5988,0.3948,0.58,0.56,2.39,35.92%,21.42%,59.64%,40.36%, 1.62 ," 33,718.00 ",47.9493," 8,416.00 ",4.01,y,y,y,4
0,คลองสาน,0.615,1.4476,0.0340,0.22,0.46,2.78,74.30%,34.57%,46.52%,53.48%, 3.19 ," 58,898.00 ",54.1857," 9,869.00 ",5.97,y,y,y,4
7,ดินแดง,0.543,0.4206,0.1453,0.45,0.97,2.53,38.10%,11.40%,29.93%,70.07%, 5.92 ," 105,344.00 ",56.1905," 12,470.00 ",8.45,y,y,y,4
12,ธนบุรี,1.173,0.2408,0.0220,0.13,0.89,2.46,57.40%,17.39%,30.29%,69.71%, 5.67 ," 94,135.00 ",60.1997," 11,580.00 ",8.13,y,y,y,4
43,สัมพันธวงศ์,0.052,0.0689,0.0021,0.04,0.18,0.34,35.03%,8.49%,24.24%,75.76%, 1.08 ," 17,673.00 ",60.8802," 12,444.00 ",1.42,y,y,y,4
44,สาทร,0.132,0.3282,0.1419,0.75,1.36,2.71,16.98%,6.37%,37.49%,62.51%, 4.52 ," 66,521.00 ",67.8981," 9,207.00 ",7.23,n,y,y,4
28,ป้อมปราบศัตรูพ่าย,0.000,0.0000,0.0005,0.04,0.12,0.16,0.00%,0.00%,6.44%,93.56%, 2.34 ," 33,997.00 ",68.7373," 13,611.00 ",2.50,n,n,n,4
35,ราชเทวี,0.718,0.5924,0.7366,0.44,0.69,3.18,41.24%,18.25%,44.26%,55.74%, 4.00 ," 56,166.00 ",71.2235," 7,826.00 ",7.18,y,y,y,4
17,บางคอแหลม,0.003,0.3899,0.0022,1.17,0.76,2.33,16.83%,4.57%,27.14%,72.86%, 6.26 ," 72,970.00 ",85.8436," 8,488.00 ",8.60,n,n,y,4
18,บางซื่อ,0.548,0.7150,0.9017,0.24,0.30,2.71,46.65%,9.77%,20.95%,79.05%, 10.22 ," 114,935.00 ",88.9110," 8,891.00 ",12.93,y,y,y,4
40,วัฒนา,1.582,1.1606,1.0963,1.72,1.19,6.75,40.65%,21.18%,52.09%,47.91%, 6.20 ," 65,933.00 ",94.1066," 5,091.00 ",12.95,y,y,y,4
14,บางกอกใหญ่,0.000,0.1202,0.0033,0.01,0.50,0.64,18.83%,1.91%,10.15%,89.85%, 5.65 ," 58,377.00 ",96.8067," 9,282.00 ",6.29,n,n,n,4
2,คลองเตย,0.853,1.0279,0.5631,0.91,1.34,4.70,40.04%,14.04%,35.06%,64.94%, 8.70 ," 84,779.00 ",102.6121," 6,329.00 ",13.40,y,y,y,4
29,พญาไท,0.168,0.9994,0.2134,0.78,0.73,2.89,40.36%,12.62%,31.26%,68.74%, 6.36 ," 60,346.00 ",105.4418," 6,519.00 ",9.26,y,y,y,4
13,บางกอกน้อย,0.101,0.1291,0.1888,0.34,0.49,1.25,18.43%,1.87%,10.13%,89.87%, 11.10 ," 92,653.00 ",119.7673," 7,504.00 ",12.35,n,n,n,4
21,บางพลัด,0.273,0.3947,0.4493,0.19,0.32,1.62,41.24%,5.65%,13.69%,86.31%, 10.20 ," 85,005.00 ",119.9984," 7,192.00 ",11.82,y,y,n,4
34,ยานนาวา,1.185,0.2683,0.2073,0.75,0.81,3.22,45.11%,11.67%,25.86%,74.14%, 9.24 ," 69,880.00 ",132.1777," 5,609.00 ",12.46,y,y,y,4
30,พระนคร,0.000,0.0035,0.1181,0.08,0.01,0.21,1.65%,0.07%,3.98%,96.02%, 5.16 ," 37,789.00 ",136.6268," 7,028.00 ",5.38,n,n,n,4
31,พระโขนง,0.166,0.1974,0.5363,0.29,0.65,1.84,19.73%,2.76%,13.97%,86.03%, 11.34 ," 82,023.00 ",138.1951," 6,225.00 ",13.18,n,n,n,4
32,ภาษีเจริญ,0.430,0.2884,0.2885,0.07,0.52,1.60,44.99%,3.77%,8.38%,91.62%, 17.44 ," 119,669.00 ",145.7581," 6,285.00 ",19.04,y,n,n,4
49,ห้วยขวาง,1.238,0.9794,0.6889,0.25,1.28,4.43,50.09%,13.62%,27.19%,72.81%, 11.85 ," 80,897.00 ",146.5360," 4,968.00 ",16.28,y,y,y,4
8,ดุสิต,0.000,0.0000,0.1013,0.26,0.30,0.66,0.00%,0.00%,5.84%,94.16%, 10.68 ," 70,058.00 ",152.4722," 6,176.00 ",11.34,n,n,n,4
39,วังทองหลาง,0.000,0.0913,0.3570,0.36,0.70,1.52,6.05%,0.54%,8.87%,91.13%, 15.56 ," 101,107.00 ",153.9409," 5,920.00 ",17.08,n,n,n,4
5,จอมทอง,0.071,0.1352,0.1698,0.45,0.22,1.04,19.78%,0.93%,4.71%,95.29%, 21.10 ," 135,383.00 ",155.8802," 6,113.00 ",22.15,n,n,n,4
26,ปทุมวัน,0.522,0.4338,0.0578,0.69,0.94,2.64,36.15%,11.88%,32.86%,67.14%, 5.40 ," 34,622.00 ",156.0333," 4,303.00 ",8.05,y,y,y,4
36,ราษฎร์บูรณะ,0.000,0.0011,0.0040,0.28,0.06,0.34,0.33%,0.01%,2.72%,97.28%, 12.24 ," 72,994.00 ",167.7042," 5,801.00 ",12.58,n,n,n,4
4,จตุจักร,2.078,0.3589,0.7874,1.46,2.19,6.87,35.47%,7.49%,21.11%,78.89%, 25.67 ," 152,161.00 ",168.7273," 4,676.00 ",32.54,y,y,y,4
25,บึงกุ่ม,0.000,0.0000,0.0042,0.39,0.19,0.58,0.00%,0.00%,2.50%,97.50%, 22.82 ," 133,600.00 ",170.7732," 5,709.00 ",23.40,n,n,n,4
41,สวนหลวง,0.235,0.7764,0.4320,0.54,1.19,3.17,31.88%,4.15%,13.03%,86.97%, 21.18 ," 120,146.00 ",176.2927," 4,933.00 ",24.35,y,n,n,4
15,บางกะปิ,0.001,0.5289,0.5223,0.51,1.12,2.68,19.77%,1.92%,9.72%,90.28%, 24.89 ," 137,949.00 ",180.4631," 5,003.00 ",27.58,n,n,n,4
38,ลาดพร้าว,0.000,0.0000,0.2297,0.33,0.40,0.96,0.00%,0.00%,4.52%,95.48%, 20.37 ," 109,884.00 ",185.4047," 5,150.00 ",21.34,n,n,n,4
19,บางนา,0.000,0.3639,0.6509,0.71,1.04,2.77,13.13%,1.91%,14.57%,85.43%, 16.26 ," 82,359.00 ",197.4182," 4,328.00 ",19.03,n,n,y,4
45,สายไหม,0.088,0.0035,0.0011,0.19,0.09,0.37,24.86%,0.21%,0.85%,99.15%, 43.11 ," 209,094.00 ",206.1720," 4,809.00 ",43.48,y,n,n,4
23,บางเขน,0.000,0.0011,0.3384,0.25,0.53,1.13,0.10%,0.00%,2.76%,97.24%, 39.67 ," 181,273.00 ",218.8213," 4,444.00 ",40.79,n,n,n,4
6,ดอนเมือง,0.000,0.1318,0.0072,0.06,0.45,0.65,20.19%,0.36%,1.77%,98.23%, 36.30 ," 162,920.00 ",222.8318," 4,408.00 ",36.96,n,n,n,4
48,หลักสี่,0.000,0.0868,0.1834,0.23,0.38,0.89,9.80%,0.38%,3.89%,96.11%, 21.88 ," 96,049.00 ",227.7651," 4,220.00 ",22.76,n,n,n,4
47,หนองแขม,0.000,0.0000,0.0038,0.21,0.25,0.46,0.00%,0.00%,1.27%,98.73%, 35.95 ," 152,884.00 ",235.1781," 4,198.00 ",36.42,n,n,n,4
24,บางแค,0.124,0.1385,0.2483,0.19,0.28,0.99,26.57%,0.55%,2.06%,97.94%, 46.86 ," 189,330.00 ",247.5154," 3,957.00 ",47.85,y,n,n,4
11,ทุ่งครุ,0.000,0.0000,0.0125,0.19,0.01,0.22,0.00%,0.00%,0.68%,99.32%, 31.99 ," 122,673.00 ",260.7611," 3,809.00 ",32.21,n,n,n,4
42,สะพานสูง,0.000,0.0000,0.0902,0.00,0.19,0.28,0.00%,0.00%,1.02%,98.98%, 27.70 ," 96,744.00 ",286.2776," 3,458.00 ",27.98,n,n,n,4
3,คันนายาว,0.000,0.0000,0.1133,0.14,0.24,0.49,0.00%,0.00%,1.91%,98.09%, 25.03 ," 85,429.00 ",292.9615," 3,348.00 ",25.51,n,n,n,4
27,ประเวศ,0.000,0.0034,0.2922,0.12,0.55,0.97,0.36%,0.01%,1.79%,98.21%, 52.92 ," 179,788.00 ",294.3554," 3,336.00 ",53.89,n,n,n,4
20,บางบอน,0.002,0.0879,0.0011,0.04,0.12,0.25,35.63%,0.26%,0.74%,99.26%, 33.87 ," 96,104.00 ",352.4609," 2,816.00 ",34.13,y,n,n,4
9,ตลิ่งชัน,0.000,0.0026,0.0016,0.15,0.05,0.20,1.26%,0.01%,0.57%,99.43%, 35.43 ," 99,649.00 ",355.5278," 2,797.00 ",35.63,n,n,n,4
33,มีนบุรี,0.000,0.0000,0.0905,0.02,0.01,0.12,0.00%,0.00%,0.20%,99.80%, 59.84 ," 138,449.00 ",432.2485," 2,309.00 ",59.96,n,n,n,4
1,คลองสามวา,0.001,0.0023,0.0072,0.19,0.11,0.31,1.07%,0.00%,0.27%,99.73%, 114.69 ," 212,827.00 ",538.8805," 1,851.00 ",115.00,n,n,n,4
10,ทวีวัฒนา,0.001,0.0011,0.0016,0.13,0.09,0.22,1.02%,0.00%,0.44%,99.56%, 49.89 ," 79,286.00 ",629.2455," 1,582.00 ",50.11,n,n,n,4
16,บางขุนเทียน,0.000,0.0000,0.0526,0.23,0.30,0.58,0.00%,0.00%,0.45%,99.55%, 129.11 ," 182,616.00 ",706.9763," 1,408.00 ",129.68,n,n,n,4
37,ลาดกระบัง,0.000,0.0868,0.0620,0.01,0.30,0.46,18.91%,0%,0.36%,99.64%, 127.90 ," 180,086.00 ",710.2133," 1,403.00 ",128.36,n,n,n,4
46,หนองจอก,0.000,0.0011,0.0057,0.09,0.00,0.10,1.09%,0.00%,0.04%,99.96%, 238.29 ," 185,682.00 ",1283.3320, 779.00 ,238.39,n,n,n,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
